"YYYYMM","V41755375"

1984M01,63.3
1984M02,63.6
1984M03,63.7
1984M04,63.9
1984M05,63.9
1984M06,64.3
1984M07,64.5
1984M08,64.5
1984M09,64.6
1984M10,64.7
1984M11,65.0
1984M12,65.0
1985M01,65.4
1985M02,65.8
1985M03,65.9
1985M04,66.2
1985M05,66.4
1985M06,66.5
1985M07,66.8
1985M08,66.8
1985M09,66.8
1985M10,67.0
1985M11,67.2
1985M12,67.5
1986M01,67.7
1986M02,68.0
1986M03,68.0
1986M04,67.9
1986M05,68.3
1986M06,68.4
1986M07,68.9
1986M08,69.0
1986M09,69.0
1986M10,69.5
1986M11,69.8
1986M12,69.9
1987M01,70.0
1987M02,70.3
1987M03,70.5
1987M04,70.9
1987M05,71.3
1987M06,71.5
1987M07,71.9
1987M08,72.0
1987M09,72.0
1987M10,72.2
1987M11,72.5
1987M12,72.6
1988M01,72.5
1988M02,72.8
1988M03,73.2
1988M04,73.3
1988M05,73.5
1988M06,73.7
1988M07,74.1
1988M08,74.2
1988M09,74.3
1988M10,74.7
1988M11,74.8
1988M12,74.8
1989M01,75.2
1989M02,75.7
1989M03,76.1
1989M04,76.3
1989M05,76.8
1989M06,76.9
1989M07,77.4
1989M08,77.5
1989M09,77.6
1989M10,77.9
1989M11,78.1
1989M12,78.1
1990M01,78.6
1990M02,79.1
1990M03,79.4
1990M04,79.4
1990M05,79.7
1990M06,80.0
1990M07,80.3
1990M08,80.4
1990M09,80.6
1990M10,81.3
1990M11,81.9
1990M12,81.8
1991M01,82.8
1991M02,82.8
1991M03,82.6
1991M04,82.6
1991M05,82.7
1991M06,83.1
1991M07,83.2
1991M08,83.3
1991M09,83.0
1991M10,82.9
1991M11,83.3
1991M12,82.9
1992M01,83.2
1992M02,83.2
1992M03,83.5
1992M04,83.6
1992M05,83.6
1992M06,83.8
1992M07,84.0
1992M08,83.9
1992M09,83.9
1992M10,84.0
1992M11,84.4
1992M12,84.4
1993M01,84.7
1993M02,85.0
1993M03,84.9
1993M04,84.9
1993M05,85.1
1993M06,85.0
1993M07,85.2
1993M08,85.3
1993M09,85.3
1993M10,85.5
1993M11,85.8
1993M12,85.7
1994M01,85.7
1994M02,86.1
1994M03,86.1
1994M04,86.1
1994M05,86.0
1994M06,86.2
1994M07,86.5
1994M08,86.6
1994M09,86.7
1994M10,86.5
1994M11,87.0
1994M12,87.1
1995M01,87.4
1995M02,87.8
1995M03,87.9
1995M04,88.2
1995M05,88.4
1995M06,88.4
1995M07,88.6
1995M08,88.4
1995M09,88.5
1995M10,88.4
1995M11,88.7
1995M12,88.5
1996M01,88.6
1996M02,88.7
1996M03,89.2
1996M04,89.4
1996M05,89.7
1996M06,89.7
1996M07,89.7
1996M08,89.7
1996M09,89.8
1996M10,90.0
1996M11,90.4
1996M12,90.3
1997M01,90.5
1997M02,90.7
1997M03,90.8
1997M04,90.8
1997M05,90.9
1997M06,91.1
1997M07,91.1
1997M08,91.2
1997M09,91.2
1997M10,91.2
1997M11,91.1
1997M12,91.0
1998M01,91.4
1998M02,91.5
1998M03,91.6
1998M04,91.5
1998M05,91.8
1998M06,91.9
1998M07,91.9
1998M08,91.9
1998M09,91.7
1998M10,92.1
1998M11,92.1
1998M12,91.8
1999M01,92.0
1999M02,92.1
1999M03,92.5
1999M04,93.0
1999M05,93.2
1999M06,93.4
1999M07,93.7
1999M08,93.9
