Date,Cont_one_month,Cont_one_year,Cont_two_year,Cont_three_year,Cont_five_year,Cont_seven_year,Cont_ten_year
199501,0.005526787,,0.007256004,0.00746407,0.007500493,0.007594169,0.007614642
199502,,,0.006792199,0.00700288,0.00707997,0.00719454,0.00725758
199503,,,0.006436769,0.006648231,0.006760298,0.0069293,0.007050555
199504,,,0.006327477,0.006483639,0.006568834,0.006741619,0.006870459
199505,,,0.005857957,0.006026097,0.006210125,0.006412905,0.00658522
199506,,,0.005603598,0.005787727,0.006042171,0.00623275,0.00642311
199507,,,0.005740415,0.005938357,0.006210344,0.006407729,0.006597672
199508,,,0.005951186,0.006146615,0.006404157,0.00657903,0.006748263
199509,,,0.005807226,0.005958862,0.006182242,0.006312677,0.006479484
199510,,,0.0055621,0.00575274,0.006012075,0.006150961,0.00631304
199511,,,0.005159391,0.005414656,0.005737789,0.005914441,0.006114624
199512,,,0.005018845,0.005241278,0.005599608,0.005838632,0.005934315
