Date,Cont_one_month,Cont_one_year,Cont_two_year,Cont_three_year,Cont_five_year,Cont_seven_year,Cont_ten_year
199501,0.005603929,0.007216321,0.007256004,0.00746407,0.007500493,0.007594169,0.007614642
199502,0.006292102,0.006878282,0.006792199,0.00700288,0.00707997,0.00719454,0.00725758
199503,0.006527493,0.006811129,0.006436769,0.006648231,0.006760298,0.0069293,0.007050555
199504,0.006569896,0.006637873,0.006327477,0.006483639,0.006568834,0.006741619,0.006870459
199505,0.006194297,0.006087371,0.005857957,0.006026097,0.006210125,0.006412905,0.00658522
199506,0.00584298,0.005667464,0.005603598,0.005787727,0.006042171,0.00623275,0.00642311
199507,0.005381526,0.005660005,0.005740415,0.005938357,0.006210344,0.006407729,0.006597672
199508,0.005222511,0.005883276,0.005951186,0.006146615,0.006404157,0.00657903,0.006748263
199509,0.005159765,0.005803774,0.005807226,0.005958862,0.006182242,0.006312677,0.006479484
199510,0.005261325,0.005544337,0.0055621,0.00575274,0.006012075,0.006150961,0.00631304
199511,0.004771295,0.005062736,0.005159391,0.005414656,0.005737789,0.005914441,0.006114624
199512,0.004739781,0.004947994,0.005018845,0.005241278,0.005599608,0.005838632,0.005934315
199601,0.004510784,0.004628812,0.004636055,0.004863937,0.005330508,0.005659261,0.005807482
199602,0.004214245,0.004403519,0.004510244,0.004798895,0.005360099,0.005725903,0.005927079
199603,0.004151015,0.004637394,0.004964989,0.00521709,0.005715167,0.006044989,0.006233549
199604,0.003981853,0.004602632,0.005045087,0.005317055,0.005788006,0.006118832,0.006295845
199605,0.003823841,0.004525868,0.004986033,0.005324638,0.005782239,0.006107182,0.00635093
199606,0.003834822,0.004582545,0.005087797,0.005403534,0.005810848,0.006128433,0.006384071
199607,0.003708361,0.004474581,0.005081588,0.005362055,0.005744184,0.006040345,0.00630571
199608,0.003298201,0.003925723,0.004491318,0.004838217,0.005370858,0.005659941,0.005979536
199609,0.00311064,0.003878821,0.004346982,0.004738659,0.005354315,0.005679617,0.006005893
199610,0.002771209,0.003179857,0.003626915,0.004045946,0.004717819,0.005078281,0.00544713
199611,0.00233481,0.002753341,0.003186428,0.00361183,0.00429542,0.004729344,0.005035655
199612,0.002212584,0.002965243,0.003380076,0.003924269,0.004498734,0.004955995,0.005243318
199701,0.002163221,0.003058262,0.003726956,0.004132434,0.004668103,0.005141832,0.005437598
199702,0.002250833,0.002890459,0.003460492,0.003834711,0.004395282,0.004850398,0.005171836
199703,0.002356426,0.003173777,0.003759364,0.004158926,0.00466453,0.005083351,0.005362385
199704,0.002400187,0.003560785,0.004096587,0.004521076,0.004980518,0.005347749,0.005560007
199705,0.002319567,0.003173204,0.003824434,0.004257071,0.004742207,0.005105135,0.005389685
199706,0.002222166,0.003108721,0.003612937,0.004027917,0.004499816,0.00484901,0.005145925
199707,0.002522995,0.003398842,0.003695468,0.003998987,0.004353624,0.004647107,0.004896676
199708,0.002204269,0.003374794,0.003519248,0.003992626,0.004371336,0.004666556,0.004922017
199709,0.00220712,0.003441771,0.003611772,0.003969417,0.004368051,0.004565466,0.004826267
199710,0.002541131,0.003435461,0.003646558,0.003998247,0.004177508,0.004360267,0.004609897
199711,0.002737529,0.003525443,0.003667251,0.004000719,0.004157792,0.004321128,0.004524006
199712,0.002875284,0.004041933,0.004103433,0.004361479,0.004421001,0.004542684,0.00465579
199801,0.002902587,0.004014265,0.00395818,0.004152984,0.004190138,0.004296908,0.004408248
199802,0.003551273,0.004188835,0.004123972,0.004260494,0.004304353,0.004374178,0.004467908
199803,0.003757046,0.004123045,0.004071453,0.004212968,0.00427242,0.004343291,0.00446245
199804,0.003777083,0.004127302,0.004058128,0.004186268,0.00421645,0.004279505,0.00436921
199805,0.003788746,0.004262278,0.004180463,0.004288922,0.004310849,0.00436403,0.004429773
199806,0.003769122,0.00428789,0.004241773,0.004329636,0.004304168,0.004349565,0.004374288
199807,0.003872519,0.004312784,0.004267251,0.004373181,0.004353624,0.004383881,0.004397901
